Lake_ID,STN,Site.ID,Lake_Name,Latitude,Longitude,meanTP_yearly,Secchi.depth_avg,Lake.Area
3652,2453,1,lake clear,45.42638889,-77.16861111,7.55,7.6,131541.32
3653,2453,1,lake clear,45.42638889,-77.16861111,12.7,5.5,131541.32
3654,2453,1,lake clear,45.42638889,-77.16861111,8.35,8.1,131541.32
3655,2453,1,lake clear,45.42638889,-77.16861111,5.3,6.6,131541.32
3656,2453,1,lake clear,45.42638889,-77.16861111,11.4,6.1,131541.32
3657,2453,1,lake clear,45.42638889,-77.16861111,8.4,7.7,131541.32
3658,2453,1,lake clear,45.42638889,-77.16861111,10.9,7,131541.32
3659,2453,2,lake clear,45.45166667,-77.22805556,10.9,6,131541.32
3660,2453,2,lake clear,45.45166667,-77.22805556,9.425,6.8,131541.32
3661,2453,2,lake clear,45.45166667,-77.22805556,9,6.4,131541.32
3662,2453,2,lake clear,45.45166667,-77.22805556,6.95,7.7,131541.32
3663,2453,2,lake clear,45.45166667,-77.22805556,11.4,6.7,131541.32
3664,2453,2,lake clear,45.45166667,-77.22805556,7.85,7.2,131541.32
3665,2453,2,lake clear,45.45166667,-77.22805556,5.4,6.3,131541.32
3666,2453,2,lake clear,45.45166667,-77.22805556,8.2,7.2,131541.32
3667,2453,2,lake clear,45.45166667,-77.22805556,8.5,7,131541.32
3668,2453,2,lake clear,45.45166667,-77.22805556,9.4,6.4,131541.32
3669,2453,3,lake clear,45.43694444,-77.16083333,11.275,5.8,131541.32
3670,2453,3,lake clear,45.43694444,-77.16083333,6.35,8.7,131541.32
3671,2453,3,lake clear,45.43694444,-77.16083333,7.95,7.8,131541.32
3672,2453,3,lake clear,45.43694444,-77.16083333,5,2.8,131541.32
3673,2453,3,lake clear,45.43694444,-77.16083333,6.6,7.7,131541.32
3674,2453,3,lake clear,45.43694444,-77.16083333,7,7,131541.32
3675,2453,3,lake clear,45.43694444,-77.16083333,6,0.6,131541.32
3676,2453,4,lake clear,45.43777778,-77.1975,10.55,10.1,131541.32
3677,2453,4,lake clear,45.43777778,-77.1975,8.65,7.6,131541.32
3678,2453,4,lake clear,45.43777778,-77.1975,5.35,7.2,131541.32
3679,2453,4,lake clear,45.43777778,-77.1975,12.9,7,131541.32
3680,2453,4,lake clear,45.43777778,-77.1975,7.8,7.7,131541.32
3681,2453,4,lake clear,45.43777778,-77.1975,8.4,7.4,131541.32
3682,2453,4,lake clear,45.43777778,-77.1975,8.5,7.6,131541.32
3683,2453,4,lake clear,45.43777778,-77.1975,10.1,7.1,131541.32
3684,2453,4,lake clear,45.43777778,-77.1975,10.4,6.6,131541.32
3685,2453,4,lake clear,45.43777778,-77.1975,7.5,6.8,131541.32
3686,2453,5,lake clear,45.42722222,-77.1925,6.7,6.8,131541.32
3687,2453,5,lake clear,45.42722222,-77.1925,8.4,7,131541.32
3688,2453,5,lake clear,45.42722222,-77.1925,7.4,7.1,131541.32
3689,2453,5,lake clear,45.42722222,-77.1925,11,7,131541.32
3690,2453,5,lake clear,45.42722222,-77.1925,8.9,6.6,131541.32
3691,2453,5,lake clear,45.42722222,-77.1925,6.9,6.9,131541.32
3692,2469,1,lake of bays,45.24638889,-79.02972222,8.45,5.5,7587.37
3693,2469,1,lake of bays,45.24638889,-79.02972222,3.8,6.3,7587.37
3694,2469,2,lake of bays,45.32388889,-79.0175,11.15,4.5,7587.37
3695,2469,2,lake of bays,45.32388889,-79.0175,5.475,4.9,7587.37
3696,2469,3,lake of bays,45.22833333,-79.07055556,4.55,6.5,7587.37
3697,2469,3,lake of bays,45.22833333,-79.07055556,4.05,6.4,7587.37
3698,2469,4,lake of bays,45.21833333,-79.09388889,5,6,7587.37
3699,2469,4,lake of bays,45.21833333,-79.09388889,5.35,5.9,7587.37
3700,2469,5,lake of bays,45.28555556,-79.03333333,7.45,5.5,7587.37
3701,2469,5,lake of bays,45.28555556,-79.03333333,4.175,5.5,7587.37
3702,2469,6,lake of bays,45.2425,-78.90666667,17,5,7587.37
3703,2469,6,lake of bays,45.2425,-78.90666667,4.925,5.3,7587.37
3704,2469,7,lake of bays,45.29055556,-79.075,4.8,5.5,7587.37
3705,2469,7,lake of bays,45.29055556,-79.075,19.55,5.2,7587.37
3706,2469,7,lake of bays,45.29055556,-79.075,5.55,5.1,7587.37
3707,2469,7,lake of bays,45.29055556,-79.075,5.9,5,7587.37
3708,2469,7,lake of bays,45.29055556,-79.075,7.9,5.5,7587.37
3709,2469,12,lake of bays,45.24888889,-78.88416667,3.65,4.4,7587.37
3710,2469,12,lake of bays,45.24888889,-78.88416667,4.3,4,7587.37
3711,2469,12,lake of bays,45.24888889,-78.88416667,5.6,5.2,7587.37
3712,2469,12,lake of bays,45.24888889,-78.88416667,7.7,4,7587.37
3713,2469,12,lake of bays,45.24888889,-78.88416667,8.45,4.5,7587.37
3714,2469,12,lake of bays,45.24888889,-78.88416667,6.1,3.7,7587.37
3715,2469,12,lake of bays,45.24888889,-78.88416667,4.6,3.7,7587.37
3716,2469,12,lake of bays,45.24888889,-78.88416667,4.8,3.3,7587.37
3717,2469,12,lake of bays,45.24888889,-78.88416667,6.5,3.6,7587.37
3718,6236,1,lake of islands,44.77305556,-77.74527778,7.79,4.4,588224.42
3719,6236,1,lake of islands,44.77305556,-77.74527778,5.6,5.1,588224.42
3720,6236,1,lake of islands,44.77305556,-77.74527778,7.6,5.2,588224.42
3721,6236,1,lake of islands,44.77305556,-77.74527778,8.7,5.3,588224.42
