Lake.Name,STN,Site.ID,Latitude,Longitude,Year,Secchi.depth_avg
ASHBY LAKE,131,3,45.09083333,-77.3525,2004,5.3
ASHBY LAKE,131,3,45.09083333,-77.3525,2005,5.5
ASHBY LAKE,131,3,45.09083333,-77.3525,2006,5.2
ASHBY LAKE,131,3,45.09083333,-77.3525,2007,5.3
ASHBY LAKE,131,3,45.09083333,-77.3525,2008,5.3
ASHBY LAKE,131,3,45.09083333,-77.3525,2009,5.6
ASHBY LAKE,131,3,45.09083333,-77.3525,2010,5.9
ASHBY LAKE,131,3,45.09083333,-77.3525,2011,5.3
ASHBY LAKE,131,3,45.09083333,-77.3525,2012,5.7
ASHBY LAKE,131,3,45.09083333,-77.3525,2013,5.4
ASHBY LAKE,131,3,45.09083333,-77.3525,2014,5.2
ASHBY LAKE,131,3,45.09083333,-77.3525,2015,5.4
ASHBY LAKE,131,3,45.09083333,-77.3525,2016,5.3
ASHIGAMI LAKE,132,1,46.65,-80.56666667,2006,4.5
ASHIGAMI LAKE,132,1,46.65,-80.56666667,2009,4.5
ASHIGAMI LAKE,132,1,46.65,-80.56666667,2011,4.4
ASHIGAMI LAKE,132,1,46.65,-80.56666667,2012,6.4
ASHIGAMI LAKE,132,1,46.65,-80.56666667,2013,5
ATHELSTANE LAKE,136,1,48.76805556,-90.23555556,2012,3.8
ATHELSTANE LAKE,136,2,48.77444444,-90.20138889,2012,3.8
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,1997,2.5
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,1998,2.8
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,1999,2.6
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2000,2.4
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2001,2.5
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2002,2.5
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2003,3.1
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2004,2.4
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2005,2.1
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2007,2.3
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2008,2.2
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2009,2.7
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2010,2.6
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2011,2.9
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2012,3
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2013,3.5
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2014,2.4
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2015,2.8
AUSTIN LAKE,6932,1,49.89777778,-94.37611111,2016,2.8
AUSTIN LAKE,6932,2,49.88611111,-94.375,2014,2.9
AUSTIN LAKE,6932,3,49.88638889,-94.37527778,2006,4.1
AYLEN LAKE,160,1,45.61666667,-77.85,2001,6.9
AYLEN LAKE,160,1,45.61666667,-77.85,2002,5.7
AYLEN LAKE,160,1,45.61666667,-77.85,2003,5.4
AYLEN LAKE,160,1,45.61666667,-77.85,2004,5.5
BABY LAKE,163,1,45.2625,-79.77611111,2003,5
BABY LAKE,163,2,45.20333333,-79.79,2012,4.8
BABY LAKE,163,2,45.20333333,-79.79,2014,3.1
BACK LAKE,165,1,45.31083333,-79.91611111,2012,4
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,1996,5.5
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,1997,5.2
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,1998,5.1
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,1999,4.6
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2000,4.5
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2001,4.4
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2002,4.8
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2003,4.6
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2004,5
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2005,4.5
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2006,4.6
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2007,3.1
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2008,4.5
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2009,5
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2010,4.2
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2011,4
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2012,4.8
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2013,3.8
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2014,4.2
BAGOT LONG LAKE,171,1,45.2375,-76.64861111,2016,3.3
BALLANTYNE LAKE,7037,1,45.97694444,-79.15083333,2001,4.1
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2001,5.3
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2002,5
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2003,5.5
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2004,6.1
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2005,5.9
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2006,3.9
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2007,4.7
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2008,4.5
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2009,5.4
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2010,4.7
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2011,5.1
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2012,5.5
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2013,5.8
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2014,4.8
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2015,5.1
BALSAM LAKE,6902,2,44.63305556,-78.83944444,2016,5.4
BALSAM LAKE,6902,3,44.55888889,-78.88638889,2001,4.6
BALSAM LAKE,6902,3,44.55888889,-78.88638889,2002,4.5
BALSAM LAKE,6902,3,44.55888889,-78.88638889,2003,4.6
BALSAM LAKE,6902,3,44.55888889,-78.88638889,2004,4.3
BALSAM LAKE,6902,3,44.55888889,-78.88638889,2006,3.6
BALSAM LAKE,6902,3,44.55888889,-78.88638889,2007,3.9
BALSAM LAKE,6902,4,44.57666667,-78.84444444,1996,4.5
BALSAM LAKE,6902,4,44.57666667,-78.84444444,1998,4.3
BALSAM LAKE,6902,4,44.57666667,-78.84444444,2001,6
BALSAM LAKE,6902,5,44.63,-78.81194444,1996,4
BALSAM LAKE,6902,5,44.63,-78.81194444,1997,3.9
BALSAM LAKE,6902,5,44.63,-78.81194444,1998,3.5
BALSAM LAKE,6902,5,44.63,-78.81194444,1999,3.9
BALSAM LAKE,6902,5,44.63,-78.81194444,2000,5.1
BALSAM LAKE,6902,5,44.63,-78.81194444,2001,4.3
BALSAM LAKE,6902,5,44.63,-78.81194444,2002,3.5
BALSAM LAKE,6902,5,44.63,-78.81194444,2003,3.8
BALSAM LAKE,6902,5,44.63,-78.81194444,2004,3.4
BALSAM LAKE,6902,5,44.63,-78.81194444,2005,4.5
BALSAM LAKE,6902,5,44.63,-78.81194444,2006,4.4
BALSAM LAKE,6902,5,44.63,-78.81194444,2007,4.8
BALSAM LAKE,6902,5,44.63,-78.81194444,2008,4.6
BALSAM LAKE,6902,5,44.63,-78.81194444,2009,3.8
BALSAM LAKE,6902,5,44.63,-78.81194444,2010,3.6
BALSAM LAKE,6902,5,44.63,-78.81194444,2011,3.6
BALSAM LAKE,6902,5,44.63,-78.81194444,2012,3.7
BALSAM LAKE,6902,5,44.63,-78.81194444,2013,4.3
BALSAM LAKE,6902,5,44.63,-78.81194444,2014,3.7
BALSAM LAKE,6902,5,44.63,-78.81194444,2015,3.3
BALSAM LAKE,6902,5,44.63,-78.81194444,2016,3.9
BALSAM LAKE,6902,6,44.63333333,-78.83888889,1996,4.3
BALSAM LAKE,6902,6,44.63333333,-78.83888889,1997,4.2
BALSAM LAKE,6902,6,44.63333333,-78.83888889,1998,4.5
BALSAM LAKE,6902,6,44.63333333,-78.83888889,1999,4.6
BALSAM LAKE,6902,6,44.63333333,-78.83888889,2000,4.5
BALSAM LAKE,6902,6,44.63333333,-78.83888889,2002,4.5
BALSAM LAKE,6902,7,44.51833333,-78.85833333,2006,3
BALSAM LAKE,6902,7,44.51833333,-78.85833333,2007,3.6
BALSAM LAKE,6902,7,44.51833333,-78.85833333,2008,3.3
BALSAM LAKE,6902,7,44.51833333,-78.85833333,2009,3.5
BALSAM LAKE,6902,7,44.51833333,-78.85833333,2010,3.2
BALSAM LAKE,6902,7,44.51833333,-78.85833333,2011,3.5
BALSAM LAKE,6902,7,44.51833333,-78.85833333,2012,3.7
BALSAM LAKE,6902,7,44.51833333,-78.85833333,2013,3.8
BALSAM LAKE,6902,7,44.51833333,-78.85833333,2014,3.8
BALSAM LAKE,6902,7,44.51833333,-78.85833333,2015,3.4
BALSAM LAKE,6902,7,44.51833333,-78.85833333,2016,4.3
BALSAM LAKE,6902,8,44.55833333,-78.88611111,2006,3.1
BALSAM LAKE,6902,8,44.55833333,-78.88611111,2007,3.6
BALSAM LAKE,6902,8,44.55833333,-78.88611111,2008,3.6
BALSAM LAKE,6902,8,44.55833333,-78.88611111,2009,4.2
BALSAM LAKE,6902,8,44.55833333,-78.88611111,2010,3.6
BALSAM LAKE,6902,8,44.55833333,-78.88611111,2011,3.6
BALSAM LAKE,6902,8,44.55833333,-78.88611111,2012,4.4
BALSAM LAKE,6902,8,44.55833333,-78.88611111,2014,3.6
BALSAM LAKE,6902,8,44.55833333,-78.88611111,2015,3.7
BALSAM LAKE,6902,8,44.55833333,-78.88611111,2016,4.7
BALSAM LAKE,6902,9,44.575,-78.80444444,2007,3.5
BALSAM LAKE,6902,9,44.575,-78.80444444,2008,3.3
BALSAM LAKE,6902,9,44.575,-78.80444444,2009,3.7
BALSAM LAKE,6902,9,44.575,-78.80444444,2010,3.3
BALSAM LAKE,6902,9,44.575,-78.80444444,2011,3.7
BALSAM LAKE,6902,9,44.575,-78.80444444,2012,3.8
BALSAM LAKE,6902,9,44.575,-78.80444444,2014,4.3
BALSAM LAKE,6902,9,44.575,-78.80444444,2015,3.5
BALSAM LAKE,6902,9,44.575,-78.80444444,2016,3.5
BALSAM LAKE,7375,1,46.15694444,-81.22222222,2004,3.8
BAPTISTE LAKE,196,1,45.11666667,-78.05,2000,4.1
BAPTISTE LAKE,196,1,45.11666667,-78.05,2002,3.8
BAPTISTE LAKE,196,1,45.11666667,-78.05,2003,4.4
BAPTISTE LAKE,196,1,45.11666667,-78.05,2012,2.8
BAPTISTE LAKE,196,1,45.11666667,-78.05,2013,3.1
BAPTISTE LAKE,196,1,45.11666667,-78.05,2014,3.5
BAPTISTE LAKE,196,1,45.11666667,-78.05,2016,4.1
BAPTISTE LAKE,196,2,45.13833333,-77.96944444,1996,3.9
BAPTISTE LAKE,196,2,45.13833333,-77.96944444,1997,4.1
BAPTISTE LAKE,196,2,45.13833333,-77.96944444,1998,4.4
BAPTISTE LAKE,196,2,45.13833333,-77.96944444,1999,4.1
BAPTISTE LAKE,196,2,45.13833333,-77.96944444,2000,4.1
BAPTISTE LAKE,196,2,45.13833333,-77.96944444,2001,4.1
BAPTISTE LAKE,196,2,45.13833333,-77.96944444,2002,4
BAPTISTE LAKE,196,2,45.13833333,-77.96944444,2003,3.6
BAPTISTE LAKE,196,2,45.13833333,-77.96944444,2004,4
BAPTISTE LAKE,196,2,45.13833333,-77.96944444,2005,4.1
BAPTISTE LAKE,196,2,45.13833333,-77.96944444,2006,3.9
