Lake.Name,STN,Site.ID,Latitude,Longitude,Year,Secchi.depth_avg,d,m,s,d_long,m_long,s_long
ASHIGAMI LAKE,132,1,463900,803400,2006,4.5,46,39,00,80,34,00
ASHIGAMI LAKE,132,1,463900,803400,2009,4.5,46,39,00,80,34,00
ASHIGAMI LAKE,132,1,463900,803400,2011,4.4,46,39,00,80,34,00
ASHIGAMI LAKE,132,1,463900,803400,2012,6.4,46,39,00,80,34,00
ASHIGAMI LAKE,132,1,463900,803400,2013,5,46,39,00,80,34,00
ATHELSTANE LAKE,136,1,484605,901408,2012,3.8,48,46,05,90,14,08
ATHELSTANE LAKE,136,2,484628,901205,2012,3.8,48,46,28,90,12,05
AUSTIN LAKE,6932,1,495352,942234,1997,2.5,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,1998,2.8,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,1999,2.6,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2000,2.4,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2001,2.5,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2002,2.5,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2003,3.1,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2004,2.4,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2005,2.1,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2007,2.3,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2008,2.2,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2009,2.7,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2010,2.6,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2011,2.9,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2012,3,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2013,3.5,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2014,2.4,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2015,2.8,49,53,52,94,22,34
AUSTIN LAKE,6932,1,495352,942234,2016,2.8,49,53,52,94,22,34
AUSTIN LAKE,6932,2,495310,942230,2014,2.9,49,53,10,94,22,30
AUSTIN LAKE,6932,3,495311,942231,2006,4.1,49,53,11,94,22,31
AYLEN LAKE,160,1,453700,775100,2001,6.9,45,37,00,77,51,00
AYLEN LAKE,160,1,453700,775100,2002,5.7,45,37,00,77,51,00
AYLEN LAKE,160,1,453700,775100,2003,5.4,45,37,00,77,51,00
AYLEN LAKE,160,1,453700,775100,2004,5.5,45,37,00,77,51,00
BABY LAKE,163,1,451545,794634,2003,5,45,15,45,79,46,34
BABY LAKE,163,2,451212,794724,2012,4.8,45,12,12,79,47,24
BABY LAKE,163,2,451212,794724,2014,3.1,45,12,12,79,47,24
BACK LAKE,165,1,451839,795458,2012,4,45,18,39,79,54,58
BAGOT LONG LAKE,171,1,451415,763855,1996,5.5,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,1997,5.2,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,1998,5.1,45,14,15,76,38,55
BAGOT LONG LAKE,171,1,451415,763855,1999,4.6,45,14,15,76,38,55
