Lake.Name,STN,Latitude,Longitude,Site.ID,Year,meanTP_yearly
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2014,10.7
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2015,12.825
BALSAM LAKE,6902,44.63305556,-78.83944444,2,2016,9.74
BALSAM LAKE,6902,44.55888889,-78.88638889,3,2002,9.5
BALSAM LAKE,6902,44.55888889,-78.88638889,3,2003,13.4
BALSAM LAKE,6902,44.55888889,-78.88638889,3,2004,18.8
BALSAM LAKE,6902,44.55888889,-78.88638889,3,2006,15.6
BALSAM LAKE,6902,44.55888889,-78.88638889,3,2007,13.8
BALSAM LAKE,6902,44.63,-78.81194444,5,2002,12.5
BALSAM LAKE,6902,44.63,-78.81194444,5,2003,10.31666667
BALSAM LAKE,6902,44.63,-78.81194444,5,2004,11.85
BALSAM LAKE,6902,44.63,-78.81194444,5,2005,8.65
BALSAM LAKE,6902,44.63,-78.81194444,5,2006,8.525
BALSAM LAKE,6902,44.63,-78.81194444,5,2007,10.575
BALSAM LAKE,6902,44.63,-78.81194444,5,2008,15.225
BALSAM LAKE,6902,44.63,-78.81194444,5,2009,10.99166667
BALSAM LAKE,6902,44.63,-78.81194444,5,2010,17.50833333
BALSAM LAKE,6902,44.63,-78.81194444,5,2011,14.7
BALSAM LAKE,6902,44.63,-78.81194444,5,2012,10.3
BALSAM LAKE,6902,44.63,-78.81194444,5,2013,9.783333333
BALSAM LAKE,6902,44.63,-78.81194444,5,2014,10.22
BALSAM LAKE,6902,44.63,-78.81194444,5,2015,18.1375
BALSAM LAKE,6902,44.63,-78.81194444,5,2016,10.36666667
BALSAM LAKE,6902,44.51833333,-78.85833333,7,2005,11.64166667
BALSAM LAKE,6902,44.51833333,-78.85833333,7,2006,13.05
BALSAM LAKE,6902,44.51833333,-78.85833333,7,2007,13.35
BALSAM LAKE,6902,44.51833333,-78.85833333,7,2008,13.675
BALSAM LAKE,6902,44.51833333,-78.85833333,7,2009,11.08333333
BALSAM LAKE,6902,44.51833333,-78.85833333,7,2010,12.58333333
BALSAM LAKE,6902,44.51833333,-78.85833333,7,2011,12.9
BALSAM LAKE,6902,44.51833333,-78.85833333,7,2012,11.65
BALSAM LAKE,6902,44.51833333,-78.85833333,7,2013,11.65
