Lake.Name,STN,Site.ID,Latitude,Longitude,Year,Secchi.depth_avg,d,m,s,d_long,m_long,s_long,,#VALUE!,,Latitude,,#VALUE!,,#VALUE!,,#VALUE!,,Longitude
AHMIC LAKE,32,2,453908,794324,2006,3,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2007,2.7,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2008,2.3,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2009,2.5,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2010,2.6,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2011,2.2,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2012,2.5,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2013,2.5,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2014,2.4,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2015,2.8,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2016,2.8,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,3,453908,794324,2002,2.8,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AIRD LAKE,33,2,450781,770451,2014,4.8,45,7,81,77,4,51,,45.13916667,,45.13916667,,77.08083333,,77.08083333,,-77.08083333,,-77.08083333
AKWESKWA LAKE,7590,1,481036,815415,2015,1.1,48,10,36,81,54,15,,48.17666667,,48.17666667,,81.90416667,,81.90416667,,-81.90416667,,-81.90416667
ALCOCK LAKE,7600,2,494936,942936,2014,1.2,49,49,36,94,29,36,,49.82666667,,49.82666667,,94.49333333,,94.49333333,,-94.49333333,,-94.49333333
ALFRED LAKE,49,1,454032,790018,2001,3.8,45,40,32,79,0,18,,45.67555556,,45.67555556,,79.005,,79.005,,-79.005,,-79.005
ALLAN LAKE,55,1,494104,824624,2015,0.8,49,41,4,82,46,24,,49.68444444,,49.68444444,,82.77333333,,82.77333333,,-82.77333333,,-82.77333333
ALLEN LAKE,6114,1,450725,781510,1993,6.3,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,1994,6.1,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,1995,6.2,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,1996,6.4,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,1997,6.4,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,1998,6.5,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,1999,6.2,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2000,6.2,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2001,6.7,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2002,6.3,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2003,6.3,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2004,6.2,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2005,6.1,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2006,5.6,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2007,5.9,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2008,6.1,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2009,5.9,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2010,6.1,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2011,5.7,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2012,5.9,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2013,6.2,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2014,6,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2015,6.2,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,1,450725,781510,2016,6.5,45,7,25,78,15,10,,45.12361111,,45.12361111,,78.25277778,,78.25277778,,-78.25277778,,-78.25277778
ALLEN LAKE,6114,2,450718,781501,2014,4.5,45,7,18,78,15,1,,45.12166667,,45.12166667,,78.25027778,,78.25027778,,-78.25027778,,-78.25027778
ALLUMETTE LAKE (OTTAWA R),3162,1,455132,771112,1999,2,45,51,32,77,11,12,,45.85888889,,45.85888889,,77.18666667,,77.18666667,,-77.18666667,,-77.18666667
ANIMOOSH LAKE,88,1,454619,780817,2002,4.3,45,46,19,78,8,17,,45.77194444,,45.77194444,,78.13805556,,78.13805556,,-78.13805556,,-78.13805556
ANSTRUTHER LAKE,96,1,444518,781140,1990,4.9,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,1991,5.8,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,1992,6.2,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,1993,5.2,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,1994,4.9,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,1995,5.6,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,1998,5.5,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,1999,6.2,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,2000,4.6,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,2001,6,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,2002,4.8,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,2003,6.1,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,2004,4.8,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,2005,5.6,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,2006,5,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,2007,4.9,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,2008,5.1,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,2009,5.1,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,2012,6,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,1,444518,781140,2014,5.1,44,45,18,78,11,40,,44.755,,44.755,,78.19444444,,78.19444444,,-78.19444444,,-78.19444444
ANSTRUTHER LAKE,96,2,444407,781355,1990,5,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
ANSTRUTHER LAKE,96,2,444407,781355,1991,5.8,44,44,7,78,13,55,,44.73527778,,44.73527778,,78.23194444,,78.23194444,,-78.23194444,,-78.23194444
