Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,d,m,s,d_long,m_long,s_long,,#VALUE!,,Latitude,,#VALUE!,,#VALUE!,,#VALUE!,,Longitude
AGNEW LAKE,6051,3,462235,813949,2014,10.7,46,22,35,81,39,49,,46.37638889,,46.37638889,,81.66361111,,81.66361111,,-81.66361111,,-81.66361111
AHMIC LAKE,32,1,453750,793905,2002,6.8,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2003,13.55,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2004,12.025,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2005,8.583333333,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2006,10.57,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2007,9.558333333,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2008,13.78,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2009,9.88,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2010,9.4,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2011,10.2,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2012,7.85,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2013,9.116666667,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2014,10.96,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2015,8.925,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,1,453750,793905,2016,7.783333333,45,37,50,79,39,5,,45.63055556,,45.63055556,,79.65138889,,79.65138889,,-79.65138889,,-79.65138889
AHMIC LAKE,32,2,453908,794324,2002,14.7,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2003,16.45,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2004,11.25,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2005,7.241666667,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2006,8.98,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
AHMIC LAKE,32,2,453908,794324,2007,8.808333333,45,39,8,79,43,24,,45.65222222,,45.65222222,,79.72333333,,79.72333333,,-79.72333333,,-79.72333333
