ID,Date,HPI,Year,Latitude,Longitude,area,house_price,Real_price
164,2005/01,0.7,2005,45.24902445,-79.01742207,356467.28,360000,252000
165,2005/01,0.7,2005,45.01928062,-79.46401456,16752.87,2.00E+05,140000
166,2005/01,0.7,2005,45.2367093,-79.02982698,6584.65,360000,252000
167,2005/01,0.7,2005,45.24845251,-79.0085789,16951.38,360000,252000
168,2005/01,0.7,2005,44.86707567,-78.0002108,150167.05,156000,109200
169,2005/01,0.7,2005,44.54768653,-77.79006367,470570.8,156666,109666.2
170,2005/01,0.7,2005,44.5885876,-77.81100224,11482.3,80000,56000
171,2005/01,0.7,2005,44.4948814,-78.41865479,2468.39,160000,112000
172,2005/01,0.7,2005,45.39322722,-79.36235119,113981.6,160000,112000
173,2005/01,0.7,2005,45.39056445,-79.35954879,5654.13,160000,112000
174,2005/01,0.7,2005,45.39681397,-79.36291059,405495,160000,112000
175,2005/01,0.7,2005,45.39751768,-79.35428819,15646.99,160000,112000
176,2005/01,0.7,2005,45.03446628,-79.32011059,636.03,142000,99400
177,2005/01,0.7,2005,45.00620609,-78.60564882,1747.07,80000,56000
178,2005/01,0.7,2005,44.84253849,-79.19049626,33919.77,2.00E+05,140000
179,2005/01,0.7,2005,44.60900681,-78.50638235,108629.59,157000,109900
180,2005/01,0.7,2005,44.44734466,-78.27364011,2010.66,55000,38500
181,2005/01,0.7,2005,45.28898779,-79.78842874,1177.5,3.00E+05,210000
182,2005/01,0.7,2005,45.28945909,-79.78832892,4354.38,3.00E+05,210000
183,2005/01,0.7,2005,45.70223116,-79.31719348,3867.98,165000,115500
184,2005/01,0.7,2005,45.62552021,-79.86251568,2491.77,70000,49000
185,2005/01,0.7,2005,45.04932066,-79.38911556,4751.02,2.00E+05,140000
186,2005/01,0.7,2005,44.94512736,-79.35329989,5007.35,1.00E+05,70000
187,2005/01,0.7,2005,45.38585515,-80.17353785,3253.35,116000,81200
188,2005/01,0.7,2005,44.68837993,-77.60434759,6603.7,86000,60200
189,2005/01,0.7,2005,45.14795771,-78.70502765,4691.61,86000,60200
190,2005/01,0.7,2005,44.46626097,-78.18315264,1737.76,127500,89250
191,2005/01,0.7,2005,45.17837618,-79.58895047,38199.88,4.00E+05,280000
192,2005/01,0.7,2005,45.10647798,-79.45020959,8979.59,1.00E+05,70000
193,2005/01,0.7,2005,45.01019334,-78.21508479,2581.85,55000,38500
194,2005/01,0.7,2005,45.48318894,-79.88242903,1355.74,115000,80500
195,2005/01,0.7,2005,44.84065419,-79.454166,20612.18,115000,80500
196,2005/01,0.7,2005,44.51280322,-78.49108152,1612.42,4.00E+05,280000
197,2005/01,0.7,2005,44.51262488,-78.49187665,2147.11,4.00E+05,280000
198,2005/01,0.7,2005,44.4627995,-78.13355466,40564.88,123000,86100
199,2005/01,0.7,2005,44.59912085,-78.4476036,289804.72,265000,185500
