Lake.Name,STN,Site.ID,Latitude,Longitude,Year,meanTP_yearly,d,m,s,d_long,m_long,s_long
ALLEN LAKE,6114,1,450725,781510,2015,5,45,07,25,78,15,10
ALLEN LAKE,6114,1,450725,781510,2016,5.7,45,07,25,78,15,10
ALLEN LAKE,6114,2,450718,781501,2014,7.3,45,07,18,78,15,01
ALLEN LAKE (NL),59,1,461370,825358,2010,5.5,46,13,70,82,53,58
ALLURING LAKE,61,1,454710,780815,2002,5.85,45,47,10,78,08,15
ANIMA NIPISSING LAKE,86,1,471447,795650,2004,4.6,47,14,47,79,56,50
ANIMA NIPISSING LAKE,86,2,471700,795256,2007,4.75,47,17,00,79,52,56
ANIMA NIPISSING LAKE,86,2,471700,795256,2010,3,47,17,00,79,52,56
ANIMA NIPISSING LAKE,86,3,471529,795543,2010,2.8,47,15,29,79,55,43
ANIMA NIPISSING LAKE,86,4,471604,795945,2007,3.4,47,16,04,79,59,45
ANIMA NIPISSING LAKE,86,4,471604,795945,2010,3.4,47,16,04,79,59,45
ANIMOOSH LAKE,88,1,454619,780817,2002,11.75,45,46,19,78,08,17
ANSELMI LAKE,7636,1,451233,794238,2015,8.9,45,12,33,79,42,38
ANSTRUTHER LAKE,96,1,444518,781140,2002,6.8,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2003,5.8,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2004,7.9,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2005,5.3,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2006,5.8,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2007,7.8,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2008,6.85,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2009,4.55,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2010,4.7,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2013,4.8,44,45,18,78,11,40
ANSTRUTHER LAKE,96,1,444518,781140,2014,7.3,44,45,18,78,11,40
ANSTRUTHER LAKE,96,2,444407,781355,2002,7.25,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2003,12,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2004,6.15,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2005,4.05,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2006,5.7,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2007,6.15,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2008,5.65,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2009,5.3,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2010,4.6,44,44,07,78,13,55
ANSTRUTHER LAKE,96,2,444407,781355,2013,5,44,44,07,78,13,55
